,,,,,,,,,,,,,CURRENT,,,,,,,,,
,NO,STATION NUMBER,WIGOS ID,STATION NAME,STATE,DISTRICT,LAT.  °N,LONG. °E,"LAT
(DECIMAL DEGREES)","LONG
(DECIMAL DEGREES)",HEIGHT ABOVE MSL (meter),STATUS,STATION TYPE,UPPERAIR,STATION START DATE,STATION START YEAR,ADA PEMERHATI STN (YES / NO),"STATION CLOSED DATE 
(for CLOSED stn only)",LAST DATA RECEIVED,"OPERATION HOURS 
(for Principal stn only)",AGENCY,NOTE
,22,48642,0-20000-0-48642,BATU EMBUN,PAHANG,JERANTUT,"3° 58' 15.61""","102° 20' 52.83""",3.971003,102.348009,59.5,ACTIVE,PRINCIPAL STATION,NO,10/May/1982,1982,N/A,NIL,NIL,24 HOURS,MET,
,24,48657,0-20000-0-48657,KUANTAN,PAHANG,KUANTAN,"3° 46' 19.88""","103° 12' 42.47""",3.772188,103.211796,15.23,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,26,48653,0-20000-0-48653,TEMERLOH,PAHANG,TEMERLOH,"3° 28' 16.33""","102° 22' 43.87""",3.471203,102.378853,39.1,ACTIVE,PRINCIPAL STATION,NO,01/Aug/1978,1978,N/A,NIL,NIL,24 HOURS,MET,
,25,48649,0-20000-0-48649,MUADZAM SHAH,PAHANG,ROMPIN,"3° 3' 10.85""","103° 5' 7.72""",3.053014,103.085479,33.3,ACTIVE,PRINCIPAL STATION,NO,01/Aug/1983,1983,N/A,NIL,NIL,24 HOURS,MET,
,27,96413,0-20000-0-96413,KUCHING,SARAWAK,KUCHING,"1° 29' 25.4""","110° 21' 9.57""",1.490388,110.352657,20.86,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,28,96418,0-20000-0-96418,SRI AMAN,SARAWAK,SRI AMAN,"1° 13' 18.79""","111° 27' 56.92""",1.221885,111.46581,9.6,ACTIVE,PRINCIPAL STATION,NO,1-Jan-83,1983,N/A,NIL,NIL,11 HOURS,MET,
,29,96421,0-20000-0-96421,SIBU,SARAWAK,SIBU,"2° 15' 29.67""","111° 59' 5.96""",2.258241,111.98499,30.9,ACTIVE,PRINCIPAL STATION,NO,1962,1962,N/A,NIL,NIL,24 HOURS,MET,
,30,96451,0-458-0-96451,MUKAH,SARAWAK,MUKAH,"2° 53' 22.45""","112° 2' 35.39""",2.889569,112.043164,38.25,ACTIVE,PRINCIPAL STATION,NO,22/4/2021,2021,N/A,NIL,NIL,11 HOURS,MET,
,31,96420,0-458-0-96420,KAPIT,SARAWAK,KAPIT,"2° 0' 28.43""","112° 55' 44.88""",2.007896,112.929133,35,ACTIVE,PRINCIPAL STATION,NO,1-Jan-07,2007,N/A,NIL,NIL,11 HOURS,MET,
,32,96441,0-20000-0-96441,BINTULU,SARAWAK,BINTULU,"3° 7' 12.09""","113° 1' 28.57""",3.120026,113.024603,24.29,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,33,96449,0-20000-0-96449,MIRI,SARAWAK,MIRI,"4° 18' 55.37""","113° 58' 44.77""",4.315381,113.979102,17,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,34,96448,0-458-0-96448,MULU,SARAWAK,MARUDI,"4° 2' 54.11""","114° 48' 35.09""",4.048365,114.809747,26.2,ACTIVE,PRINCIPAL STATION,NO,1-Nov-06,2006,N/A,NIL,NIL,12 HOURS,MET,
,35,96450,0-458-0-96450,LIMBANG,SARAWAK,LIMBANG,"4° 48' 30.92""","115° 0' 25.8""",4.808588,115.007166,3.6,ACTIVE,PRINCIPAL STATION,NO,1-Jul-06,2006,N/A,NIL,NIL,24 HOURS,MET,
,36,96465,0-20000-0-96465,LABUAN,WP LABUAN,LABUAN,"5° 18' 27.06""","115° 14' 32.68""",5.307518,115.242411,27.9,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,37,96467,0-458-0-96467,KENINGAU,SABAH,KENINGAU,"5° 20' 14.49""","116° 8' 11.24""",5.337358,116.136455,319,ACTIVE,PRINCIPAL STATION,NO,1-Aug-09,2009,N/A,NIL,NIL,8 HOURS,MET,
,38,96471,0-20000-0-96471,KOTA KINABALU,SABAH,KOTA KINABALU,"5° 55' 57.29""","116° 2' 50.73""",5.93258,116.047425,2.14,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,39,96469,0-458-0-96469,RANAU,SABAH,RANAU,"5° 57' 17.47""","116° 40' 53.93""",5.954852,116.681647,501,ACTIVE,PRINCIPAL STATION,NO,4-Jun-12,2012,N/A,NIL,NIL,24 HOURS,MET,
,40,96477,0-20000-0-96477,KUDAT,SABAH,KUDAT,"6° 55' 18.97""","116° 50' 11.85""",6.921936,116.836624,3.5,ACTIVE,PRINCIPAL STATION,NO,01-Okt-1981,1981,N/A,NIL,NIL,24 HOURS,MET,
,41,96491,0-20000-0-96491,SANDAKAN,SABAH,SANDAKAN,"5° 53' 57.16""","118° 3' 59.34""",5.899212,118.066483,12.09,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,42,96481,0-20000-0-96481,TAWAU,SABAH,TAWAU,"4° 18' 58.5""","118° 7' 7.48""",4.316249,118.118744,17.46,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
